date,NOx/Nmhc,O3
2005/1/1,248.011695906,31.8
2005/1/2,82.3988842399,36.9
2005/1/3,98.6882129278,24.0
2005/1/4,71.4485596708,18.4
2005/1/5,113.898916968,48.6
2005/1/6,116.437007874,45.0
2005/1/7,114.784853701,57.6
2005/1/8,128.536585366,51.6
2005/1/9,81.2232030265,13.9
2005/1/10,127.162471396,28.2
2005/1/11,100.101809955,32.5
2005/1/12,157.993311037,30.5
2005/1/13,135.782608696,20.0
2005/1/14,218.672985782,11.5
2005/1/15,148.055555556,38.7
2005/1/16,109.257731959,38.9
2005/1/17,133.796231682,44.2
2005/1/18,117.196467991,61.4
2005/1/19,103.432510885,58.1
2005/1/20,117.508833922,56.6
2005/1/21,100.086956522,58.4
2005/1/22,79.2232215863,59.9
2005/1/23,159.05982906,53.4
2005/1/24,85.6729475101,64.2
2005/1/25,109.609665428,36.5
2005/1/26,118.887859129,56.6
2005/1/27,73.5700934579,69.1
2005/1/28,137.118644068,36.5
2005/1/29,47.6827647319,41.2
2005/1/30,144.096638655,37.9
2005/1/31,111.651651652,18.8
2005/2/1,145.875613748,22.0
2005/2/2,153.775784753,53.9
2005/2/3,94.9786628734,75.5
2005/2/4,82.2637238257,37.5
2005/2/5,88.6233062331,69.9
2005/2/6,59.7724750277,60.3
2005/2/7,101.745495495,45.7
2005/2/8,98.8241308793,61.2
2005/2/9,124.516129032,38.6
2005/2/10,636.794871795,41.2
2005/2/11,843.076923077,43.8
2005/2/12,829.142857143,47.1
2005/2/13,722.096774194,43.2
2005/2/14,2704.0,48.0
2005/2/15,103.965141612,28.2
2005/2/16,91.0511363636,60.9
2005/2/17,101.27753304,45.3
2005/2/18,75.6633291615,46.1
2005/2/19,189.156118143,17.6
2005/2/20,195.0,15.7
2005/2/21,141.708126036,12.2
2005/2/22,115.37966538,33.0
2005/2/23,111.422222222,100.3
2005/2/24,175.836575875,37.0
2005/2/25,76.9327251995,26.4
2005/2/26,81.5402843602,28.9
2005/2/27,92.8043143297,43.0
2005/2/28,118.521303258,14.5
2005/3/1,123.007751938,11.3
2005/3/2,69.9362606232,30.7
2005/3/3,177.126436782,23.6
2005/3/4,176.327272727,20.1
2005/3/5,57.6205787781,43.2
2005/3/6,114.797979798,51.2
2005/3/7,109.505050505,49.5
2005/3/8,134.639175258,59.5
2005/3/9,178.467094703,75.1
2005/3/10,92.5036390102,25.4
2005/3/11,140.27607362,21.0
2005/3/12,68.2762201454,17.5
2005/3/13,346.078431373,17.6
2005/3/14,103.027027027,44.9
2005/3/15,66.0722100656,82.0
2005/3/16,89.7039159503,73.6
2005/3/17,138.971061093,49.7
2005/3/18,154.668094218,44.9
2005/3/19,136.386946387,57.2
2005/3/20,128.978185993,50.8
2005/3/21,133.211382114,59.0
2005/3/22,153.474903475,36.7
2005/3/23,85.340599455,48.0
2005/3/24,112.942857143,56.5
2005/3/25,143.394396552,49.8
2005/3/26,104.889643463,69.4
2005/3/27,143.991769547,38.9
2005/3/28,113.893129771,24.9
2005/3/29,142.954924875,51.6
2005/3/30,97.8664007976,40.5
2005/3/31,86.3333333333,33.4
2005/4/1,138.056265985,51.6
2005/4/2,73.3544877607,40.8
2005/4/3,89.9814814815,52.8
2005/4/4,95.551694179,66.3
2005/4/5,107.159763314,72.6
2005/4/6,157.117647059,59.7
2005/4/7,135.182724252,32.0
