date,NOx/Nmhc,O3
2014/01/01,91.8032786885,77.0
2014/01/02,143.58974359,88.0
2014/01/03,111.764705882,81.0
2014/01/04,122.580645161,81.0
2014/01/05,101.219512195,88.0
2014/01/06,127.368421053,84.0
2014/01/07,140.579710145,101.0
2014/01/08,98.9247311828,76.0
2014/01/09,185.714285714,48.0
2014/01/10,102.597402597,67.0
2014/01/11,112.962962963,82.0
2014/01/12,91.8032786885,81.0
2014/01/13,116.129032258,60.0
2014/01/14,127.586206897,45.0
2014/01/15,117.46031746,55.0
2014/01/16,129.523809524,68.0
2014/01/17,161.643835616,79.0
2014/01/18,137.5,71.0
2014/01/19,128.947368421,72.0
2014/01/20,120.0,59.0
2014/01/21,110.869565217,48.0
2014/01/22,128.571428571,63.0
2014/01/23,151.546391753,79.0
2014/01/24,85.7142857143,84.0
2014/01/25,91.5789473684,53.0
2014/01/26,100.0,90.0
2014/01/27,70.9677419355,77.0
2014/01/28,107.01754386,76.0
2014/01/29,101.754385965,94.0
2014/01/30,41.1290322581,107.0
2014/01/31,137.5,105.0
2014/02/01,102.564102564,79.0
2014/02/02,57.5,57.0
2014/02/03,108.0,46.0
2014/02/04,70.9677419355,52.0
2014/02/05,82.2222222222,70.0
2014/02/06,83.7209302326,44.0
2014/02/07,90.0,41.0
2014/02/08,135.135135135,51.0
2014/02/09,72.9411764706,66.0
2014/02/10,146.428571429,18.0
2014/02/11,166.666666667,31.0
2014/02/12,129.62962963,61.0
2014/02/13,112.0,36.0
2014/02/14,165.217391304,20.0
2014/02/15,109.803921569,54.0
2014/02/16,83.3333333333,86.0
2014/02/17,158.536585366,95.0
2014/02/18,200.0,44.0
2014/02/19,130.434782609,29.0
2014/02/20,165.384615385,60.0
2014/02/21,104.109589041,73.0
2014/02/22,132.203389831,76.0
2014/02/23,75.2808988764,68.0
2014/02/24,131.034482759,54.0
2014/02/25,72.5274725275,87.0
2014/02/26,71.5189873418,90.0
2014/02/27,103.937007874,89.0
2014/02/28,68.5185185185,59.0
2014/03/01,88.2352941176,74.0
2014/03/02,128.0,60.0
2014/03/03,137.931034483,51.0
2014/03/04,111.290322581,109.0
2014/03/05,105.172413793,69.0
2014/03/06,116.417910448,64.0
2014/03/07,120.454545455,66.0
2014/03/08,131.818181818,56.0
2014/03/09,100.0,43.0
2014/03/10,161.538461538,24.0
2014/03/11,104.347826087,61.0
2014/03/12,66.0377358491,55.0
2014/03/13,178.125,52.0
2014/03/14,128.0,79.0
2014/03/15,92.1052631579,83.0
2014/03/16,160.0,80.0
2014/03/17,143.47826087,90.0
2014/03/18,74.358974359,93.0
2014/03/19,171.428571429,75.0
2014/03/20,111.428571429,56.0
2014/03/21,111.363636364,32.0
2014/03/22,404.347826087,72.0
2014/03/23,108.695652174,71.0
2014/03/24,116.0,74.0
2014/03/25,126.315789474,105.0
2014/03/26,85.2941176471,92.0
2014/03/27,68.3333333333,44.0
2014/03/28,120.37037037,53.0
2014/03/29,106.666666667,22.0
2014/03/30,126.086956522,47.0
2014/03/31,200.0,48.0
2014/04/01,94.4444444444,58.0
2014/04/02,87.2340425532,47.0
2014/04/03,148.648648649,52.0
2014/04/04,101.587301587,72.0
2014/04/05,80.7692307692,94.0
2014/04/06,135.714285714,84.0
2014/04/07,130.508474576,51.0
2014/04/08,91.25,84.0
2014/04/09,87.1794871795,77.0
2014/04/10,91.1764705882,92.0
2014/04/11,89.0909090909,75.0
2014/04/12,129.62962963,113.0
2014/04/13,86.6666666667,63.0
2014/04/14,162.222222222,84.0
2014/04/15,101.587301587,81.0
2014/04/16,113.513513514,88.0
2014/04/17,138.095238095,59.0
2014/04/18,103.448275862,60.0
2014/04/19,114.814814815,72.0
2014/04/20,157.142857143,46.0
2014/04/21,85.7142857143,92.0
2014/04/22,79.6296296296,47.0
2014/04/23,95.1807228916,81.0
2014/04/24,146.511627907,87.0
2014/04/25,81.6326530612,68.0
2014/04/26,87.1794871795,62.0
2014/04/27,97.1428571429,59.0
2014/04/28,138.709677419,84.0
2014/04/29,70.3703703704,97.0
2014/04/30,61.5384615385,80.0
2014/05/01,103.03030303,80.0
2014/05/02,52.0408163265,68.0
2014/05/04,100.0,90.0
2014/05/05,126.41509434,80.0
2014/05/06,120.588235294,19.0
2014/05/07,73.4693877551,75.0
2014/05/08,112.5,78.0
2014/05/09,89.0243902439,17.0
2014/05/10,97.8021978022,67.0
2014/05/11,123.076923077,35.0
2014/05/12,120.0,31.0
2014/05/13,114.814814815,22.0
2014/05/14,147.368421053,24.0
2014/05/15,128.571428571,23.0
2014/05/16,200.0,23.0
2014/05/17,119.230769231,36.0
2014/05/18,181.818181818,25.0
2014/05/19,120.0,21.0
2014/05/20,131.818181818,22.0
2014/05/21,108.823529412,46.0
2014/05/22,105.882352941,38.0
2014/05/23,103.03030303,41.0
2014/05/24,117.741935484,76.0
2014/05/25,109.375,100.0
2014/05/26,166.666666667,23.0
2014/05/27,120.833333333,55.0
2014/05/28,180.0,45.0
2014/05/29,110.526315789,29.0
2014/05/30,120.0,59.0
2014/05/31,125.714285714,43.0
2014/06/01,185.714285714,51.0
2014/06/02,166.666666667,27.0
2014/06/03,173.333333333,21.0
2014/06/04,140.740740741,67.0
2014/06/05,184.210526316,42.0
2014/06/06,120.512820513,74.0
2014/06/07,111.111111111,49.0
2014/06/08,128.571428571,68.0
2014/06/09,109.433962264,45.0
2014/06/11,0.0,42.0
2014/06/12,74.0740740741,77.0
2014/06/13,95.0,73.0
2014/06/14,71.7948717949,35.0
2014/06/15,92.0,37.0
2014/06/16,123.076923077,32.0
2014/06/17,94.7368421053,25.0
2014/06/18,91.6666666667,28.0
2014/06/19,121.052631579,28.0
2014/06/20,140.0,24.0
2014/06/21,100.0,25.0
2014/06/22,92.3076923077,27.0
2014/06/23,72.0,26.0
2014/06/24,150.0,41.0
2014/06/25,105.882352941,23.0
2014/06/26,82.6086956522,21.0
2014/06/27,92.0,16.0
2014/06/28,76.1904761905,48.0
2014/06/29,85.0,24.0
2014/06/30,103.448275862,38.0
2014/07/01,100.0,39.0
2014/07/02,183.333333333,33.0
2014/07/03,70.8333333333,23.0
2014/07/04,108.108108108,30.0
2014/07/05,100.0,65.0
2014/07/06,86.9565217391,84.0
2014/07/07,180.952380952,50.0
2014/07/08,81.4814814815,50.0
2014/07/09,96.2962962963,36.0
2014/07/10,88.8888888889,31.0
2014/07/11,137.5,26.0
2014/07/12,81.8181818182,33.0
2014/07/13,163.636363636,37.0
2014/07/14,122.222222222,20.0
2014/07/16,158.333333333,59.0
2014/07/17,113.043478261,74.0
2014/07/18,143.243243243,73.0
2014/07/22,72.5,62.0
2014/07/23,330.0,35.0
2014/07/24,220.0,19.0
2014/07/25,125.0,34.0
2014/07/26,102.702702703,57.0
2014/07/27,106.666666667,45.0
2014/07/28,205.263157895,47.0
2014/07/29,46.875,41.0
2014/07/30,76.0,44.0
2014/07/31,95.2380952381,57.0
2014/08/01,129.411764706,58.0
2014/08/02,150.0,47.0
2014/08/03,157.142857143,51.0
2014/08/04,116.666666667,29.0
2014/08/05,105.882352941,37.0
2014/08/06,176.923076923,62.0
2014/08/07,183.333333333,30.0
2014/08/08,134.482758621,27.0
2014/08/09,142.857142857,24.0
2014/08/10,70.5882352941,25.0
2014/08/11,125.0,28.0
2014/08/12,271.428571429,20.0
2014/08/13,130.434782609,28.0
2014/08/14,136.842105263,36.0
2014/08/15,82.9787234043,28.0
2014/08/16,83.8709677419,33.0
2014/08/17,49.2753623188,67.0
2014/08/18,142.857142857,47.0
2014/08/19,209.090909091,19.0
2014/08/20,100.0,26.0
2014/08/21,119.444444444,41.0
2014/08/22,158.823529412,50.0
2014/08/23,107.5,46.0
2014/08/24,125.0,66.0
2014/08/25,100.0,70.0
2014/08/26,163.636363636,59.0
2014/08/27,89.2857142857,62.0
2014/08/28,106.451612903,63.0
2014/08/29,114.285714286,72.0
2014/08/30,88.8888888889,65.0
2014/08/31,114.285714286,88.0
2014/09/01,115.789473684,44.0
2014/09/02,126.923076923,45.0
2014/09/03,120.0,39.0
2014/09/04,91.3043478261,58.0
2014/09/05,144.0,87.0
2014/09/06,118.75,46.0
2014/09/07,219.230769231,36.0
2014/09/08,89.4736842105,38.0
2014/09/09,129.411764706,37.0
2014/09/10,162.5,66.0
2014/09/11,143.333333333,71.0
2014/09/12,95.652173913,60.0
2014/09/13,68.0,48.0
2014/09/14,164.285714286,66.0
2014/09/15,68.085106383,42.0
2014/09/17,127.777777778,64.0
2014/09/18,159.259259259,67.0
2014/09/19,117.391304348,77.0
2014/09/20,49.0196078431,72.0
2014/09/21,92.8571428571,46.0
2014/09/22,112.195121951,55.0
2014/09/23,178.260869565,46.0
2014/09/24,126.666666667,36.0
2014/09/25,138.888888889,32.0
2014/09/26,108.333333333,63.0
2014/09/27,105.0,77.0
2014/09/28,260.0,87.0
2014/09/29,111.764705882,86.0
2014/09/30,90.3225806452,92.0
2014/10/01,152.941176471,62.0
2014/10/02,104.255319149,89.0
2014/10/03,71.7948717949,88.0
2014/10/04,92.5925925926,70.0
2014/10/05,100.0,81.0
2014/10/06,92.0,92.0
2014/10/07,115.0,84.0
2014/10/08,150.0,81.0
2014/10/09,132.142857143,122.0
2014/10/10,72.8813559322,112.0
2014/10/11,43.9252336449,62.0
2014/10/12,86.1111111111,70.0
2014/10/13,88.8888888889,86.0
2014/10/14,66.9724770642,115.0
2014/10/15,88.75,96.0
2014/10/16,170.0,89.0
2014/10/17,105.128205128,87.0
2014/10/18,84.8484848485,113.0
2014/10/19,92.5,83.0
2014/10/20,95.8904109589,107.0
2014/10/21,129.850746269,78.0
2014/10/22,114.545454545,79.0
2014/10/23,110.0,90.0
2014/10/24,121.153846154,79.0
2014/10/25,141.666666667,86.0
2014/10/26,78.5714285714,102.0
2014/10/27,94.8275862069,86.0
2014/10/28,172.0,65.0
2014/10/29,133.333333333,67.0
2014/10/30,90.9090909091,67.0
2014/10/31,119.047619048,58.0
2014/11/01,120.0,87.0
2014/11/02,202.43902439,94.0
2014/11/03,217.142857143,68.0
2014/11/04,103.333333333,68.0
2014/11/05,120.408163265,70.0
2014/11/06,115.151515152,95.0
2014/11/07,116.666666667,70.0
2014/11/08,194.444444444,71.0
2014/11/09,102.272727273,59.0
2014/11/10,127.083333333,67.0
2014/11/11,111.111111111,96.0
2014/11/12,75.0,104.0
2014/11/13,129.411764706,102.0
2014/11/14,98.1818181818,76.0
2014/11/15,97.0588235294,62.0
2014/11/16,160.416666667,56.0
2014/11/17,164.285714286,55.0
2014/11/18,129.545454545,65.0
2014/11/19,90.0,67.0
2014/11/20,106.756756757,105.0
2014/11/21,111.25,86.0
2014/11/22,116.666666667,103.0
2014/11/23,113.636363636,52.0
2014/11/24,105.128205128,64.0
2014/11/25,114.705882353,81.0
2014/11/26,79.6460176991,102.0
2014/11/27,117.567567568,100.0
2014/11/28,126.984126984,83.0
2014/11/29,72.972972973,59.0
2014/11/30,64.2857142857,74.0
2014/12/01,155.555555556,60.0
2014/12/02,134.0,24.0
