date,NOx/Nmhc,O3
2011/1/1,149.056603774,55.0
2011/1/2,138.596491228,67.0
2011/1/3,102.739726027,64.0
2011/1/4,153.488372093,52.0
2011/1/5,120.833333333,39.0
2011/1/6,110.909090909,21.0
2011/1/7,173.076923077,17.0
2011/1/8,105.333333333,43.0
2011/1/9,166.666666667,43.0
2011/1/10,81.25,32.0
2011/1/11,140.0,18.0
2011/1/12,186.046511628,7.7
2011/1/13,109.090909091,53.0
2011/1/14,137.209302326,51.0
2011/1/15,153.333333333,34.0
2011/1/16,122.222222222,33.0
2011/1/17,170.588235294,53.0
2011/1/18,124.444444444,48.0
2011/1/19,82.1428571429,65.0
2011/1/20,131.034482759,25.0
2011/1/21,112.5,24.0
2011/1/22,183.720930233,45.0
2011/1/23,119.607843137,50.0
2011/1/24,204.761904762,64.0
2011/1/25,105.063291139,67.0
2011/1/26,157.894736842,50.0
2011/1/27,142.62295082,64.0
2011/1/28,110.714285714,35.0
2011/1/29,241.666666667,24.0
2011/1/30,175.0,54.0
2011/1/31,192.0,49.0
2011/2/1,106.796116505,68.0
2011/2/2,87.2340425532,61.0
2011/2/3,55.5555555556,64.0
2011/2/4,112.5,63.0
2011/2/5,103.50877193,71.0
2011/2/6,49.5798319328,79.0
2011/2/7,82.5,72.0
2011/2/8,142.1875,79.0
2011/2/9,75.1592356688,78.0
2011/2/10,97.1428571429,91.0
2011/2/11,125.925925926,59.0
2011/2/12,165.625,61.0
2011/2/13,112.765957447,82.0
2011/2/14,206.25,33.0
2011/2/15,110.447761194,54.0
2011/2/16,112.727272727,92.0
2011/2/17,93.5064935065,85.0
2011/2/18,147.5,27.0
2011/2/19,125.0,54.0
2011/2/20,107.843137255,55.0
2011/2/21,162.5,61.0
2011/2/22,142.647058824,77.0
2011/2/23,125.0,77.0
2011/2/24,103.03030303,80.0
2011/2/25,105.319148936,83.0
2011/2/26,105.454545455,89.0
2011/2/27,83.9285714286,78.0
2011/2/28,97.0588235294,88.0
2011/3/1,139.024390244,53.0
2011/3/2,129.268292683,88.0
2011/3/3,120.0,74.0
2011/3/4,150.0,65.0
2011/3/5,139.215686275,91.0
2011/3/6,87.5,125.0
2011/3/7,68.253968254,64.0
2011/3/8,124.615384615,49.0
2011/3/9,141.935483871,85.0
2011/3/10,131.111111111,85.0
2011/3/11,98.5714285714,82.0
2011/3/12,82.6086956522,91.0
2011/3/13,65.5737704918,106.0
2011/3/14,91.8032786885,71.0
2011/3/15,161.290322581,91.0
2011/3/16,195.0,61.0
2011/3/17,107.368421053,69.0
2011/3/18,97.5,69.0
2011/3/19,91.3043478261,106.0
2011/3/20,80.0,47.0
2011/3/21,136.842105263,44.0
2011/3/22,145.161290323,63.0
2011/3/23,181.818181818,76.0
2011/3/24,134.0,77.0
2011/3/25,134.693877551,75.0
2011/3/26,148.484848485,74.0
2011/3/27,130.769230769,24.0
2011/3/28,134.0,49.0
2011/3/29,119.607843137,81.0
2011/3/30,127.272727273,75.0
2011/3/31,129.310344828,67.0
2011/4/1,100.0,82.0
2011/4/2,67.7419354839,80.0
