date,NOx/Nmhc,O3
2012/01/01,218.75,58.0
2012/01/02,150.0,20.0
2012/01/03,128.846153846,76.0
2012/01/04,159.090909091,35.0
2012/01/05,142.857142857,9.8
2012/01/06,115.714285714,28.0
2012/01/07,125.0,26.0
2012/01/08,71.4285714286,55.0
2012/01/09,108.571428571,56.0
2012/01/10,100.0,52.0
2012/01/11,161.111111111,36.0
2012/01/12,110.606060606,54.0
2012/01/13,131.818181818,18.0
2012/01/14,95.7446808511,73.0
2012/01/15,98.8235294118,60.0
2012/01/16,152.631578947,30.0
2012/01/17,135.294117647,50.0
2012/01/18,127.692307692,69.0
2012/01/19,135.9375,50.0
2012/01/20,115.384615385,54.0
2012/01/21,105.882352941,73.0
2012/01/22,100.0,48.0
2012/01/23,147.368421053,31.0
2012/01/24,112.903225806,53.0
2012/01/25,138.095238095,36.0
2012/01/26,128.947368421,61.0
2012/01/27,101.666666667,58.0
2012/01/28,80.3278688525,65.0
2012/01/29,143.75,54.0
2012/01/30,136.842105263,49.0
2012/01/31,152.380952381,60.0
2012/02/01,131.818181818,63.0
2012/02/02,148.780487805,70.0
2012/02/03,134.090909091,37.0
2012/02/04,159.523809524,57.0
2012/02/05,144.117647059,77.0
2012/02/06,106.818181818,38.0
2012/02/07,60.3603603604,26.0
2012/02/08,162.5,12.0
2012/02/09,126.41509434,66.0
2012/02/10,121.428571429,65.0
2012/02/11,133.333333333,46.0
2012/02/12,118.181818182,51.0
2012/02/13,131.25,72.0
2012/02/14,94.2028985507,125.0
2012/02/15,141.26984127,86.0
2012/02/16,168.181818182,26.0
2012/02/17,163.636363636,27.0
2012/02/18,150.0,58.0
2012/02/19,159.090909091,48.0
2012/02/20,181.25,31.0
2012/02/21,128.985507246,23.0
2012/02/22,129.72972973,78.0
2012/02/23,108.695652174,46.0
2012/02/24,105.063291139,53.0
2012/02/25,90.2777777778,63.0
2012/02/26,120.930232558,30.0
2012/02/27,157.142857143,40.0
2012/02/28,136.363636364,40.0
2012/02/29,130.666666667,57.0
2012/03/01,110.15625,88.0
2012/03/02,117.045454545,99.0
2012/03/03,113.043478261,81.0
2012/03/04,77.1428571429,81.0
2012/03/05,137.931034483,31.0
2012/03/06,142.105263158,79.0
2012/03/07,97.6470588235,79.0
2012/03/08,80.2469135802,99.0
