date,NOx/Nmhc,O3
2013/01/01,127.272727273,45.0
2013/01/02,166.666666667,36.0
2013/01/03,172.0,25.0
2013/01/04,125.609756098,51.0
2013/01/05,144.0,49.0
2013/01/06,97.0588235294,57.0
2013/01/07,136.111111111,44.0
2013/01/08,156.52173913,16.0
2013/01/09,181.481481481,13.0
2013/01/10,191.304347826,28.0
2013/01/11,147.887323944,27.0
2013/01/12,153.846153846,37.0
2013/01/13,93.75,33.0
2013/01/14,183.333333333,64.0
2013/01/15,158.461538462,82.0
2013/01/16,125.373134328,78.0
2013/01/17,67.3076923077,75.0
2013/01/18,157.142857143,66.0
2013/01/19,137.113402062,81.0
2013/01/20,100.0,81.0
2013/01/21,159.649122807,80.0
2013/01/22,101.298701299,90.0
2013/01/23,131.428571429,74.0
2013/01/24,113.095238095,53.0
2013/01/25,125.0,75.0
2013/01/26,130.769230769,79.0
2013/01/27,110.256410256,71.0
2013/01/28,125.373134328,72.0
2013/01/29,91.0256410256,79.0
2013/01/30,124.590163934,88.0
2013/01/31,74.5454545455,113.0
2013/02/01,103.846153846,92.0
2013/02/02,103.658536585,93.0
2013/02/03,68.085106383,80.0
2013/02/04,118.309859155,90.0
2013/02/05,130.612244898,45.0
2013/02/06,87.2093023256,68.0
2013/02/07,165.957446809,69.0
2013/02/08,170.0,66.0
2013/02/09,197.142857143,68.0
2013/02/10,90.4761904762,59.0
2013/02/11,153.846153846,52.0
2013/02/12,82.9268292683,61.0
2013/02/13,84.6153846154,73.0
2013/02/14,77.4193548387,76.0
2013/02/15,102.857142857,65.0
2013/02/16,111.320754717,71.0
2013/02/17,42.4242424242,78.0
2013/02/18,110.526315789,93.0
2013/02/20,156.0,66.0
2013/02/21,111.428571429,80.0
2013/02/22,178.260869565,68.0
2013/02/23,96.5517241379,75.0
2013/02/24,93.5483870968,68.0
2013/02/25,107.894736842,87.0
2013/02/26,104.255319149,73.0
2013/02/27,85.8695652174,74.0
2013/02/28,87.3563218391,67.0
2013/03/01,93.1818181818,109.0
2013/03/02,156.0,31.0
2013/03/03,187.096774194,33.0
2013/03/04,107.843137255,61.0
2013/03/05,176.0,75.0
2013/03/06,94.3181818182,78.0
2013/03/07,124.324324324,83.0
2013/03/08,142.857142857,103.0
2013/03/09,76.7441860465,82.0
2013/03/10,65.3846153846,75.0
2013/03/11,189.473684211,78.0
2013/03/12,148.0,90.0
2013/03/13,120.0,49.0
2013/03/14,117.5,63.0
2013/03/15,119.047619048,88.0
2013/03/16,79.1666666667,96.0
2013/03/17,89.4736842105,104.0
2013/03/18,272.727272727,37.0
2013/03/19,128.571428571,43.0
2013/03/20,95.652173913,36.0
2013/03/21,120.0,34.0
2013/03/22,88.0597014925,87.0
2013/03/23,96.9696969697,53.0
2013/03/24,132.0,36.0
2013/03/25,114.285714286,78.0
2013/03/26,118.181818182,85.0
2013/03/27,107.843137255,66.0
2013/03/28,98.75,86.0
2013/03/29,86.5384615385,78.0
2013/03/30,117.647058824,79.0
2013/03/31,83.0188679245,61.0
2013/04/01,116.216216216,85.0
2013/04/02,73.6111111111,65.0
2013/04/03,98.3050847458,84.0
2013/04/04,97.5609756098,106.0
2013/04/05,100.0,35.0
2013/04/06,139.285714286,45.0
2013/04/07,148.275862069,68.0
2013/04/08,87.7551020408,110.0
2013/04/09,112.087912088,86.0
2013/04/10,121.951219512,64.0
2013/04/11,135.9375,74.0
2013/04/12,140.909090909,51.0
2013/04/13,90.0,58.0
2013/04/14,115.384615385,55.0
2013/04/15,162.5,74.0
2013/04/16,104.166666667,58.0
2013/04/18,132.0,39.0
2013/04/19,213.157894737,45.0
2013/04/21,105.405405405,60.0
2013/04/22,98.8636363636,75.0
2013/04/23,86.4406779661,100.0
2013/04/24,118.518518519,66.0
2013/04/25,196.428571429,46.0
2013/04/26,95.7746478873,76.0
2013/04/27,139.130434783,52.0
2013/04/28,72.9166666667,89.0
2013/04/29,128.0,112.0
2013/04/30,92.0,46.0
2013/05/01,150.0,69.0
2013/05/02,121.428571429,64.0
2013/05/03,118.181818182,65.0
2013/05/04,100.0,73.0
2013/05/05,187.5,71.0
2013/05/06,188.0,34.0
2013/05/07,97.3684210526,60.0
2013/05/08,126.666666667,52.0
2013/05/09,91.3043478261,113.0
2013/05/10,100.0,24.0
2013/05/11,109.090909091,25.0
2013/05/12,130.0,36.0
2013/05/13,146.153846154,34.0
2013/05/14,150.0,37.0
2013/05/15,127.777777778,34.0
2013/05/16,145.714285714,19.0
2013/05/17,126.315789474,31.0
2013/05/18,115.384615385,21.0
2013/05/19,75.0,37.0
2013/05/20,185.714285714,34.0
2013/05/21,143.75,42.0
2013/05/22,116.666666667,23.0
2013/05/23,133.333333333,39.0
2013/05/24,106.451612903,66.0
2013/05/25,118.181818182,80.0
2013/05/26,90.0,91.0
2013/05/27,143.75,43.0
2013/05/28,187.5,21.0
2013/05/29,123.529411765,41.0
2013/05/30,107.317073171,72.0
2013/05/31,132.432432432,79.0
2013/06/01,141.666666667,33.0
2013/06/02,113.333333333,24.0
2013/06/03,104.545454545,42.0
2013/06/04,133.333333333,51.0
2013/06/05,125.641025641,117.0
2013/06/06,130.434782609,85.0
2013/06/07,215.0,81.0
2013/06/08,233.333333333,23.0
2013/06/09,155.555555556,25.0
2013/06/10,126.086956522,40.0
2013/06/11,114.814814815,39.0
2013/06/12,94.4444444444,33.0
2013/06/13,132.0,71.0
2013/06/14,87.3015873016,58.0
2013/06/15,105.555555556,82.0
2013/06/16,135.294117647,66.0
2013/06/17,67.8571428571,90.0
2013/06/18,76.6666666667,128.0
2013/06/19,140.0,38.0
2013/06/20,97.2222222222,78.0
2013/06/21,109.090909091,27.0
2013/06/22,100.0,34.0
2013/06/23,100.0,29.0
2013/06/24,137.142857143,32.0
2013/06/25,94.7368421053,16.0
2013/06/26,131.818181818,37.0
2013/06/27,93.3333333333,27.0
2013/06/28,133.333333333,25.0
2013/06/29,153.846153846,25.0
2013/06/30,120.0,102.0
2013/07/01,49.0566037736,46.0
2013/07/02,75.0,32.0
2013/07/03,155.555555556,38.0
2013/07/04,135.294117647,60.0
2013/07/05,106.666666667,20.0
2013/07/06,105.0,24.0
2013/07/07,100.0,22.0
2013/07/08,150.0,42.0
2013/07/09,166.666666667,58.0
2013/07/10,109.375,86.0
2013/07/11,151.111111111,55.0
2013/07/12,152.380952381,38.0
2013/07/13,212.5,49.0
2013/07/16,90.0,74.0
2013/07/17,116.0,107.0
2013/07/18,162.5,15.0
2013/07/19,128.571428571,50.0
2013/07/20,86.3636363636,95.0
2013/07/21,65.2173913043,67.0
2013/07/22,114.893617021,78.0
2013/07/23,122.222222222,69.0
2013/07/24,168.75,26.0
2013/07/25,110.0,23.0
2013/07/26,138.888888889,27.0
2013/07/27,100.0,45.0
2013/07/28,144.444444444,58.0
2013/07/29,112.765957447,37.0
2013/07/30,158.333333333,38.0
2013/07/31,133.333333333,84.0
2013/08/01,65.8227848101,50.0
2013/08/02,48.3870967742,31.0
2013/08/03,46.9387755102,41.0
2013/08/04,103.448275862,84.0
2013/08/05,153.333333333,71.0
2013/08/06,71.4285714286,47.0
2013/08/07,131.818181818,26.0
2013/08/08,102.702702703,41.0
2013/08/09,129.411764706,49.0
2013/08/10,120.0,66.0
2013/08/11,96.875,62.0
2013/08/12,168.0,64.0
2013/08/13,100.0,89.0
2013/08/14,100.0,32.0
2013/08/15,100.0,41.0
2013/08/16,128.0,50.0
2013/08/17,150.0,41.0
2013/08/18,92.5925925926,36.0
2013/08/19,172.727272727,27.0
2013/08/21,124.137931034,53.0
2013/08/22,177.777777778,45.0
2013/08/23,533.333333333,21.0
2013/08/24,766.666666667,24.0
2013/08/25,115.384615385,48.0
2013/08/26,164.516129032,69.0
2013/08/27,146.875,53.0
2013/08/28,100.0,32.0
2013/08/29,183.333333333,26.0
2013/08/30,147.619047619,25.0
2013/08/31,110.0,45.0
2013/09/01,94.7368421053,66.0
2013/09/02,83.3333333333,110.0
2013/09/03,72.8813559322,109.0
2013/09/04,92.3076923077,81.0
2013/09/05,103.333333333,89.0
2013/09/06,102.702702703,108.0
2013/09/07,96.5517241379,73.0
2013/09/08,81.8181818182,78.0
2013/09/09,103.571428571,94.0
2013/09/10,113.793103448,70.0
2013/09/11,50.0,47.0
2013/09/12,97.2972972973,63.0
2013/09/13,117.142857143,66.0
2013/09/14,110.526315789,72.0
2013/09/15,83.8709677419,83.0
2013/09/16,67.5,58.0
2013/09/17,116.666666667,56.0
2013/09/18,223.80952381,111.0
2013/09/19,77.7777777778,88.0
2013/09/20,62.5,78.0
2013/09/21,78.3783783784,20.0
2013/09/22,163.333333333,44.0
2013/09/23,131.25,47.0
2013/09/24,121.875,36.0
2013/09/25,138.461538462,60.0
2013/09/26,150.0,63.0
2013/09/27,114.285714286,93.0
2013/09/28,52.6315789474,59.0
2013/09/29,223.80952381,76.0
2013/09/30,140.0,101.0
2013/10/01,173.913043478,68.0
2013/10/02,72.5806451613,94.0
2013/10/03,72.3684210526,80.0
2013/10/04,94.5454545455,81.0
2013/10/05,45.0980392157,82.0
2013/10/06,100.0,33.0
2013/10/07,97.8260869565,70.0
2013/10/08,122.727272727,64.0
2013/10/09,92.4528301887,80.0
2013/10/10,94.4444444444,149.0
2013/10/11,113.636363636,89.0
2013/10/12,87.5,78.0
2013/10/13,83.3333333333,79.0
2013/10/14,147.826086957,68.0
2013/10/15,83.7837837838,90.0
2013/10/16,93.023255814,81.0
2013/10/17,71.1538461538,68.0
2013/10/18,96.1538461538,86.0
2013/10/19,100.0,96.0
2013/10/20,86.3636363636,83.0
2013/10/21,118.75,76.0
2013/10/22,92.7710843373,67.0
2013/10/23,106.25,65.0
2013/10/24,112.820512821,80.0
2013/10/25,152.0,69.0
2013/10/26,68.4210526316,92.0
2013/10/27,54.4554455446,97.0
2013/10/28,150.0,87.0
2013/10/29,127.272727273,85.0
2013/10/30,115.217391304,91.0
2013/10/31,78.9473684211,105.0
2013/11/01,123.376623377,109.0
2013/11/02,34.1463414634,66.0
2013/11/03,75.9259259259,65.0
2013/11/04,88.0,67.0
2013/11/05,106.818181818,75.0
2013/11/06,100.0,77.0
2013/11/07,105.263157895,76.0
2013/11/08,118.0,66.0
2013/11/09,113.725490196,80.0
2013/11/10,87.7192982456,80.0
2013/11/11,114.285714286,49.0
2013/11/12,98.5507246377,66.0
2013/11/13,110.869565217,96.0
2013/11/14,96.3855421687,98.0
2013/11/15,151.282051282,77.0
2013/11/16,111.538461538,89.0
2013/11/17,61.2903225806,86.0
2013/11/18,123.287671233,64.0
2013/11/19,117.924528302,68.0
2013/11/20,127.536231884,81.0
2013/11/21,130.0,61.0
2013/11/22,108.75,33.0
2013/11/23,58.6206896552,90.0
2013/11/24,95.2380952381,87.0
2013/11/25,156.25,59.0
2013/11/26,126.829268293,64.0
2013/11/27,107.01754386,62.0
2013/11/28,190.0,22.0
2013/11/29,210.0,58.0
2013/11/30,100.0,64.0
2013/12/01,85.4838709677,80.0
2013/12/02,123.376623377,71.0
2013/12/03,162.962962963,88.0
2013/12/04,131.944444444,99.0
2013/12/05,144.827586207,117.0
2013/12/06,106.593406593,75.0
2013/12/07,98.8372093023,102.0
2013/12/09,100.0,65.0
2013/12/10,101.234567901,69.0
2013/12/11,122.222222222,27.0
2013/12/12,93.5483870968,57.0
2013/12/13,123.943661972,38.0
2013/12/14,101.851851852,30.0
2013/12/15,94.7368421053,68.0
2013/12/16,102.105263158,66.0
2013/12/17,124.137931034,32.0
2013/12/18,138.709677419,33.0
2013/12/19,157.894736842,27.0
2013/12/20,129.166666667,34.0
2013/12/21,141.379310345,36.0
2013/12/22,113.636363636,48.0
2013/12/23,98.9583333333,53.0
2013/12/24,142.857142857,39.0
2013/12/25,119.230769231,53.0
2013/12/26,131.034482759,41.0
2013/12/27,128.571428571,51.0
2013/12/28,110.377358491,38.0
2013/12/29,107.407407407,54.0
2013/12/30,160.377358491,52.0
2013/12/31,111.827956989,66.0
