date,NOx/Nmhc,O3
2003/1/1,101.469026549,57.9
2003/1/2,102.097560976,62.8
2003/1/3,201.484848485,25.3
2003/1/4,118.369369369,70.7
2003/1/5,69.1382978723,66.0
2003/1/6,93.4242424242,43.0
2003/1/7,122.375,37.2
2003/1/8,103.459770115,60.6
2003/1/9,107.117647059,40.4
2003/1/10,120.652173913,50.8
2003/1/11,100.219512195,90.3
2003/1/12,86.712,76.9
2003/1/13,77.9378238342,69.3
2003/1/14,120.903614458,79.8
2003/1/15,109.804878049,73.8
2003/1/16,112.903508772,76.6
2003/1/17,57.2329545455,105.5
2003/1/18,178.686567164,59.6
2003/1/19,96.2325581395,67.1
2003/1/20,91.5833333333,63.9
2003/1/21,114.0625,77.1
2003/1/22,106.932692308,68.0
2003/1/23,193.910714286,60.7
2003/1/24,104.873239437,112.7
2003/1/25,125.379310345,99.3
2003/1/26,131.98630137,49.4
2003/1/27,50.5644171779,42.5
2003/1/28,146.681818182,65.0
2003/1/29,95.748427673,93.4
2003/1/30,89.3636363636,77.7
2003/1/31,97.868852459,86.8
2003/2/1,53.921875,77.8
2003/2/2,143.571428571,68.8
2003/2/3,100.805555556,51.1
2003/2/4,192.272727273,48.0
2003/2/5,206.225806452,56.9
2003/2/6,80.8944444444,78.4
2003/2/7,93.9908256881,88.5
2003/2/9,42.7601809955,55.4
2003/2/10,125.898734177,70.8
2003/2/11,157.808823529,69.1
2003/2/12,163.153846154,71.8
2003/2/13,117.825242718,77.0
2003/2/14,93.7876106195,86.7
2003/2/15,90.0410958904,36.1
2003/2/16,253.333333333,36.0
2003/2/17,75.9051724138,53.0
2003/2/18,114.1625,98.9
2003/2/19,75.5602836879,75.4
2003/2/20,189.192307692,72.3
2003/2/21,138.692307692,127.9
2003/2/22,390.0,68.8
2003/2/23,181.166666667,61.6
2003/2/24,200.307692308,66.5
2003/2/25,100.153153153,81.8
2003/2/27,122.083333333,81.7
2003/2/28,119.222222222,92.5
2003/3/1,196.780487805,63.5
2003/3/2,112.888888889,72.0
2003/3/3,121.46031746,57.7
2003/3/4,163.088607595,50.3
2003/3/5,134.836363636,78.5
2003/3/6,198.0,34.4
2003/3/7,172.862745098,25.1
2003/3/8,71.2427184466,28.8
2003/3/9,97.4823529412,53.3
2003/3/10,254.734693878,36.8
2003/3/11,93.2424242424,70.0
2003/3/12,243.564102564,85.6
2003/3/13,89.8260869565,83.0
2003/3/14,97.9041916168,74.0
2003/3/15,120.0,83.0
2003/3/16,130.0,34.0
2003/3/17,203.2,47.0
2003/3/18,304.5,63.0
2003/3/19,118.81443299,72.3
2003/3/20,167.139534884,57.2
2003/3/21,115.25,68.8
2003/3/22,102.236842105,69.4
2003/3/23,60.8430232558,89.9
2003/3/24,126.844155844,56.2
2003/3/25,98.9344262295,86.5
2003/3/26,229.54,82.5
2003/3/27,133.780821918,64.7
2003/3/28,126.79787234,61.2
2003/3/29,53.1402714932,67.7
2003/3/30,44.7278481013,92.3
2003/3/31,47.6049382716,32.7
2003/4/1,77.6315789474,29.9
2003/4/2,42.3787878788,20.1
2003/4/3,41.1047619048,25.0
2003/4/4,132.529411765,30.9
2003/4/5,97.1162790698,58.8
2003/4/6,75.6666666667,83.5
2003/4/7,109.836734694,48.6
2003/4/8,124.258064516,42.3
2003/4/9,59.4416666667,28.9
2003/4/10,58.1376811594,95.2
2003/4/11,95.3888888889,32.3
2003/4/12,73.4929577465,24.5
2003/4/13,204.840909091,43.3
2003/4/14,105.380952381,42.2
2003/4/15,62.9841269841,56.9
2003/4/16,91.0879120879,74.3
2003/4/17,71.7558139535,85.2
2003/4/18,64.2698412698,70.9
2003/4/19,148.934782609,44.0
2003/4/20,108.950617284,63.5
2003/4/21,173.882352941,62.1
2003/4/22,110.746031746,71.9
2003/4/23,50.3125,50.4
2003/4/24,110.173076923,58.6
2003/4/25,70.8214285714,37.0
2003/4/26,84.1296296296,61.7
2003/4/27,61.012195122,64.5
2003/4/28,133.581818182,86.0
2003/4/29,47.9931034483,55.9
2003/4/30,164.595238095,56.7
2003/5/1,86.9230769231,75.2
2003/5/2,79.5714285714,88.7
2003/5/3,92.1206896552,102.7
2003/5/4,95.28,25.0
2003/5/5,117.171428571,43.5
2003/5/6,132.041666667,24.9
2003/5/7,105.142857143,36.6
2003/5/9,77.7641509434,78.3
2003/5/10,92.6428571429,100.6
2003/5/11,68.5588235294,73.0
2003/5/12,100.52,113.8
2003/5/13,87.8863636364,83.2
2003/5/14,79.9230769231,17.4
2003/5/15,96.2631578947,22.4
2003/5/16,144.869565217,36.9
2003/5/17,91.5806451613,16.6
2003/5/19,0.0,50.0
2003/5/20,74.0952380952,82.8
2003/5/21,50.1603773585,53.4
2003/5/22,46.7479674797,68.6
2003/5/23,109.315789474,90.0
2003/5/24,161.65,88.3
2003/5/25,81.53125,73.2
2003/5/26,60.5208333333,95.1
2003/5/27,59.9618320611,84.5
2003/5/28,80.744,95.0
2003/5/29,77.6944444444,87.3
2003/5/30,38.652173913,128.7
2003/5/31,245.333333333,97.9
2003/6/1,85.1034482759,77.1
2003/6/2,122.481481481,79.5
2003/6/3,177.121212121,73.1
2003/6/4,64.2444444444,90.8
2003/6/5,119.529411765,69.8
2003/6/6,136.111111111,39.5
2003/6/7,95.40625,30.9
2003/6/8,86.4166666667,32.3
2003/6/9,117.206896552,44.7
2003/6/10,114.96,53.7
2003/6/11,162.181818182,20.5
2003/6/12,156.5625,33.0
2003/6/13,129.75,36.8
2003/6/14,133.6875,45.9
2003/6/15,262.482758621,37.3
2003/6/16,75.7735849057,87.8
2003/6/17,79.3235294118,68.6
2003/6/18,113.125,53.0
2003/6/19,167.666666667,62.0
2003/6/20,154.315789474,30.6
2003/6/21,62.7391304348,23.3
2003/6/22,295.125,18.4
2003/6/23,211.0,16.2
2003/6/25,125.25,24.8
2003/6/26,142.315789474,16.6
2003/6/27,166.2,17.5
2003/6/28,105.32,31.4
2003/6/29,125.826086957,53.9
2003/6/30,121.45,43.0
2003/7/1,193.333333333,31.7
2003/7/2,313.666666667,26.7
2003/7/3,80.1351351351,45.5
2003/7/4,132.0,46.0
2003/7/5,99.0869565217,25.7
2003/7/6,293.0,21.9
2003/7/7,1347.0,21.3
2003/7/8,253.384615385,39.9
2003/7/9,215.916666667,42.4
2003/7/10,472.2,20.5
2003/7/11,200.96875,67.7
2003/7/12,197.714285714,18.3
2003/7/13,725.75,18.7
2003/7/15,786.0,20.0
2003/7/17,251.428571429,23.1
2003/7/18,409.571428571,18.1
2003/7/19,960.666666667,36.5
2003/7/20,242.206896552,78.5
2003/7/21,361.222222222,75.1
2003/7/22,296.815789474,75.8
2003/7/23,207.166666667,27.8
2003/7/24,178.125,28.2
2003/7/25,137.16,36.6
2003/7/26,1137.66666667,24.7
2003/7/27,231.857142857,37.7
2003/7/28,159.586206897,46.4
2003/7/29,672.333333333,24.5
2003/7/30,882.0,18.3
2003/7/31,399.2,16.4
2003/8/1,856.0,18.9
2003/8/2,342.409090909,31.4
2003/8/3,87.9756097561,31.3
2003/8/4,185.083333333,24.2
2003/8/5,167.25,22.9
2003/8/6,204.481481481,55.2
2003/8/7,196.925925926,48.8
2003/8/8,168.46875,16.8
2003/8/9,0.0,25.3
2003/8/10,0.0,35.7
2003/8/11,0.0,22.6
2003/8/12,0.0,22.9
2003/8/13,0.0,26.2
2003/8/14,0.0,24.3
2003/8/15,0.0,44.2
2003/8/16,0.0,50.6
2003/8/17,0.0,45.8
2003/8/18,0.0,24.7
2003/8/19,0.0,38.1
2003/8/20,0.0,21.3
2003/8/21,0.0,20.0
2003/8/22,53.8709677419,55.0
2003/8/23,100.095238095,58.3
2003/8/24,42.36,94.6
2003/8/25,224.608695652,33.8
2003/8/26,88.1025641026,48.3
2003/8/27,120.1,72.5
2003/8/28,85.9277108434,46.9
2003/8/29,112.440860215,45.4
2003/8/30,59.6511627907,62.0
2003/8/31,0.0,51.1
2003/9/1,0.0,99.5
2003/9/2,14.3043478261,25.1
2003/9/3,73.6326530612,90.8
2003/9/4,42.6818181818,44.2
2003/9/5,36.6179775281,61.1
2003/9/6,51.7706422018,59.4
2003/9/7,46.5,44.4
2003/9/8,75.6595744681,31.9
2003/9/9,30.6871165644,98.4
2003/9/10,68.3294117647,29.9
2003/9/11,44.8367346939,42.6
2003/9/12,62.6666666667,50.1
2003/9/13,51.3384615385,57.8
2003/9/14,58.1764705882,61.0
2003/9/15,112.352941176,31.6
2003/9/21,74.5,39.8
2003/9/22,79.6346153846,50.1
2003/9/23,79.7058823529,43.1
2003/9/24,65.6625,44.3
2003/9/25,112.121212121,106.0
2003/9/26,82.1428571429,75.4
2003/9/27,168.9,76.5
2003/9/28,145.833333333,74.0
2003/9/29,128.972972973,65.0
2003/9/30,160.909090909,54.1
2003/10/1,85.3855421687,49.2
2003/10/2,84.425,60.7
2003/10/3,108.21875,85.1
2003/10/4,79.3829787234,107.8
2003/10/5,54.0843373494,73.5
2003/10/6,68.3365384615,103.9
2003/10/7,66.6548672566,84.0
2003/10/8,69.3783783784,50.4
2003/10/9,133.846153846,31.3
2003/10/10,68.8214285714,85.9
2003/10/11,76.9696969697,85.6
2003/10/12,199.684210526,74.9
2003/10/13,106.85106383,35.2
2003/10/14,112.910714286,65.4
2003/10/15,112.553846154,78.2
2003/10/16,70.5028901734,85.9
2003/10/17,73.3756613757,76.4
2003/10/18,74.8625,99.7
2003/10/19,165.1875,108.1
2003/10/20,180.235294118,96.5
2003/10/21,77.1153846154,115.5
2003/10/22,57.0384615385,90.5
2003/10/23,103.609090909,91.9
2003/10/24,313.477272727,94.0
2003/10/30,81.7916666667,102.3
2003/10/31,114.709090909,112.0
2003/11/1,118.720930233,91.2
2003/11/2,102.285714286,32.8
2003/11/3,64.0,44.1
2003/11/4,67.6073619632,62.6
2003/11/5,75.1438848921,106.0
2003/11/6,101.321428571,119.3
2003/11/7,85.5586206897,102.9
2003/11/8,51.3636363636,87.9
2003/11/10,54.5767195767,78.7
2003/11/11,66.0617283951,56.8
2003/11/12,65.2857142857,63.6
2003/11/13,73.6049382716,71.0
2003/11/14,74.4545454545,116.1
2003/11/15,61.3350515464,100.6
2003/11/16,76.8,76.1
2003/11/17,78.8852459016,57.0
2003/11/18,55.8373205742,54.8
2003/11/20,87.4102564103,60.9
2003/11/21,101.0,56.5
2003/11/22,175.12244898,19.2
2003/11/23,68.0446428571,42.0
2003/11/24,118.91954023,72.4
2003/11/25,122.553191489,83.5
2003/11/26,131.092592593,84.6
2003/11/27,115.337837838,85.8
2003/11/28,147.692307692,70.1
2003/11/29,188.619047619,69.0
2003/11/30,233.702702703,71.7
2003/12/1,85.9819277108,68.2
2003/12/2,61.5593220339,63.0
2003/12/3,110.75,71.6
2003/12/4,103.867768595,98.2
2003/12/5,33.9199134199,91.6
2003/12/6,40.593495935,104.3
2003/12/7,14.9603524229,83.2
2003/12/8,35.965034965,67.5
2003/12/17,36.259375,57.2
2003/12/18,40.4463087248,42.5
2003/12/19,17.2163265306,55.3
2003/12/20,31.8967741935,54.5
2003/12/21,23.6377952756,70.9
2003/12/22,41.1113689095,63.0
2003/12/23,32.113022113,102.0
2003/12/24,40.9552238806,95.3
2003/12/25,39.1914893617,74.2
2003/12/26,35.4556451613,54.1
2003/12/27,27.1441717791,58.8
2003/12/28,28.6944444444,62.8
2003/12/29,36.4319248826,48.3
2003/12/30,40.8531073446,54.8
2003/12/31,34.8972431078,70.2
