date,NOx/Nmhc,O3
2008/1/1,44.858490566,63.8
2008/1/2,63.6698637052,58.8
2008/1/3,75.9124087591,68.6
2008/1/4,73.6798336798,91.1
2008/1/5,50.6054279749,65.3
2008/1/6,48.4809384164,77.1
2008/1/7,71.6674517193,91.7
2008/1/8,59.2108508015,100.4
2008/1/9,48.1187648456,74.8
2008/1/10,47.261292167,83.5
2008/1/11,65.5096821337,86.4
2008/1/12,51.1277602524,87.8
2008/1/13,66.8899521531,40.9
2008/1/14,82.2745901639,17.8
2008/1/15,72.8458498024,36.4
2008/1/16,89.0,12.0
2008/1/17,58.7168141593,34.2
2008/1/18,54.5506582713,61.9
2008/1/19,64.615694165,108.4
2008/1/20,64.5871559633,78.3
2008/1/21,69.2704626335,63.6
2008/1/22,67.2342342342,67.7
2008/1/23,63.3289473684,69.0
2008/1/24,73.4193548387,18.6
2008/1/25,51.0391249474,23.2
2008/1/26,97.0842105263,27.8
2008/1/27,56.8007312614,64.5
2008/1/28,74.2679900744,43.4
2008/1/29,71.3695871098,35.4
2008/1/30,68.8454706927,73.0
2008/1/31,72.8990610329,26.6
2008/2/1,75.2767175573,65.0
2008/2/2,69.1078066914,45.2
2008/2/3,71.0762331839,20.6
2008/2/6,57.6119402985,44.8
2008/2/7,44.9625935162,51.5
2008/2/8,63.6995515695,55.0
2008/2/9,76.3636363636,50.3
2008/2/10,69.5261437908,48.9
2008/2/11,52.4944812362,49.9
2008/2/12,87.1065989848,29.7
2008/2/13,75.1724137931,27.0
2008/2/14,71.4138286894,12.8
2008/2/15,42.9895884978,67.6
2008/2/16,68.1887578071,93.2
2008/2/17,51.6123019571,75.2
2008/2/18,69.0946502058,71.0
2008/2/19,87.4641148325,55.3
2008/2/20,57.1808510638,64.6
2008/2/21,63.8949671772,92.7
2008/2/22,31.0695017455,52.2
2008/2/23,51.6893939394,26.8
2008/2/24,53.6058230683,41.0
2008/2/25,62.6656955572,39.0
2008/2/26,59.3128834356,58.4
2008/2/27,70.0375234522,55.8
2008/2/28,54.0947940948,85.3
2008/2/29,47.4402250352,52.7
2008/3/1,64.9333333333,89.6
2008/3/2,63.5392535393,69.3
2008/3/3,88.0236486486,81.7
2008/3/4,74.2742582197,83.2
2008/3/5,87.3483226267,100.6
2008/3/6,71.2244897959,95.4
2008/3/7,65.4119638826,86.9
2008/3/8,61.3327526132,96.0
2008/3/9,47.1616161616,78.6
2008/3/10,57.8382581649,76.1
2008/3/11,38.6354093772,82.9
2008/3/12,40.700280112,100.2
2008/3/13,40.9683313033,97.8
2008/3/14,34.4406587166,69.6
2008/3/15,51.521843495,75.7
2008/3/16,31.9553409777,89.4
2008/3/17,48.0548092423,98.3
2008/3/18,54.2436149312,44.1
2008/3/19,58.909287257,70.9
2008/3/20,40.3549245785,80.0
2008/3/21,48.7746170678,73.1
2008/3/22,85.5053763441,100.6
2008/3/23,131.931216931,72.6
2008/3/24,67.0101351351,85.2
2008/3/25,68.5638297872,91.9
2008/3/26,141.344262295,100.6
2008/3/27,109.484029484,110.0
2008/3/28,56.4807162534,113.2
2008/3/29,85.2573529412,93.6
2008/3/30,64.9720670391,44.8
2008/3/31,121.390134529,19.0
2008/4/1,88.5892116183,60.5
2008/4/2,45.9980897803,76.7
2008/4/3,93.1647211414,106.5
2008/4/4,108.786231884,127.6
2008/4/5,83.391188251,100.9
2008/4/6,55.5941358025,45.6
2008/4/7,102.105943152,40.9
2008/4/8,128.189189189,50.1
2008/4/9,72.7283105023,48.5
2008/4/10,121.511627907,34.1
2008/4/11,122.086206897,52.0
2008/4/12,79.1312741313,83.6
2008/4/13,52.0663265306,85.6
2008/4/14,113.212520593,95.0
2008/4/15,85.2272727273,82.1
2008/4/16,85.6,117.3
2008/4/17,99.1957511381,52.5
2008/4/18,71.6292682927,102.7
2008/4/19,77.3841059603,102.2
2008/4/20,90.0524934383,143.0
2008/4/21,96.4975845411,49.2
2008/4/22,129.487750557,57.6
2008/4/23,69.5407685098,109.4
2008/4/24,84.0134744947,46.3
2008/4/25,113.184079602,99.6
2008/4/26,92.3195876289,125.8
2008/4/27,95.3115727003,93.3
2008/4/28,163.178571429,49.0
2008/4/29,79.5786758383,72.7
2008/4/30,53.0383091149,68.5
2008/5/1,143.390663391,57.4
2008/5/2,118.212851406,78.2
2008/5/3,48.9402697495,74.7
2008/5/4,63.5885167464,66.7
2008/5/5,122.631578947,41.5
2008/5/6,95.2348993289,62.7
