date,NOx/Nmhc,O3
2006/1/1,81.3138686131,65.5
2006/1/2,122.735849057,58.4
2006/1/3,86.1290322581,77.3
2006/1/4,95.5022109918,80.9
2006/1/5,146.103896104,47.8
2006/1/6,227.992957746,12.6
2006/1/7,227.706422018,18.8
2006/1/8,98.4859474161,39.9
2006/1/9,318.228105906,37.7
2006/1/10,122.288512912,54.6
2006/1/11,123.63546798,64.7
2006/1/12,98.9919354839,55.7
2006/1/13,134.710280374,50.1
2006/1/14,112.314974182,87.8
2006/1/15,79.1764705882,65.1
2006/1/16,99.9822380107,40.9
2006/1/17,95.5014836795,81.4
2006/1/18,98.6220472441,89.0
2006/1/19,68.52,109.1
2006/1/20,144.544468547,61.4
2006/1/21,107.119341564,23.7
2006/1/22,128.487394958,10.3
2006/1/23,159.668874172,28.1
2006/1/24,152.00845666,75.7
2006/1/25,174.67191601,43.4
2006/1/26,256.96969697,57.8
2006/1/27,147.341513292,27.0
2006/1/28,145.816091954,56.3
2006/1/29,347.932489451,55.7
2006/1/30,103.945945946,42.2
2006/1/31,184.0,52.0
2006/2/1,143.373015873,55.8
2006/2/2,70.8071748879,66.5
2006/2/3,94.1003460208,65.4
2006/2/4,157.967914439,55.6
2006/2/5,247.405247813,59.0
2006/2/6,195.026269702,60.6
2006/2/7,139.717912553,59.3
2006/2/8,115.916666667,76.0
2006/2/9,140.361445783,73.6
2006/2/10,121.12244898,37.5
2006/2/11,140.71922545,81.5
2006/2/12,85.548098434,64.7
2006/2/13,112.173913043,74.3
2006/2/14,108.487012987,109.4
2006/2/15,137.836734694,54.7
2006/2/16,101.80952381,36.4
2006/2/17,119.678953627,41.0
2006/2/18,223.570190641,41.7
2006/2/19,171.420345489,39.3
2006/2/20,135.271493213,48.6
2006/2/21,103.097880928,81.7
2006/2/22,103.204853676,109.6
2006/2/23,184.166666667,73.4
2006/2/24,136.490765172,75.9
2006/2/25,86.8996062992,85.9
2006/2/26,105.67264574,60.5
2006/2/27,68.1604696673,44.6
2006/2/28,101.596130593,42.8
2006/3/1,178.049792531,15.3
2006/3/2,196.43902439,11.8
2006/3/3,106.878483835,59.4
2006/3/4,89.6473029046,112.5
2006/3/5,107.300664452,88.3
2006/3/6,119.413369714,68.5
2006/3/7,81.7662682603,72.5
2006/3/8,106.037079954,96.7
2006/3/9,121.604010025,56.4
2006/3/10,81.1203055379,89.7
2006/3/11,120.098765432,106.0
2006/3/12,88.5824345146,81.6
2006/3/13,114.698795181,18.0
2006/3/14,92.7738095238,45.2
2006/3/15,128.154093098,75.9
2006/3/16,94.5695364238,83.0
2006/3/17,126.455696203,95.0
2006/3/18,53.344,58.7
2006/3/19,112.95212766,77.3
2006/3/20,133.052256532,41.2
2006/3/21,109.942528736,51.7
2006/3/22,102.356687898,46.5
2006/3/23,127.39010989,31.4
2006/3/24,143.866666667,23.6
2006/3/25,69.2645444566,76.5
2006/3/26,60.7390817469,16.6
2006/3/27,109.405666897,41.8
2006/3/28,141.153846154,55.5
2006/3/29,119.688768606,89.0
2006/3/30,78.6104783599,72.4
2006/3/31,146.572769953,79.1
2006/4/1,72.5264750378,46.8
2006/4/2,48.7702265372,32.1
2006/4/3,73.088023088,51.1
2006/4/4,81.1983471074,29.3
2006/4/5,185.588235294,22.1
2006/4/6,87.987987988,51.5
2006/4/7,125.78553616,73.5
2006/4/8,67.7473684211,68.1
2006/4/9,60.0647948164,52.9
2006/4/10,215.319148936,24.4
2006/4/11,123.482758621,17.8
2006/4/12,158.741721854,42.9
2006/4/13,106.231884058,23.8
2006/4/14,83.6447811448,43.1
2006/4/15,86.837944664,21.9
2006/4/17,181.797752809,66.4
2006/4/18,146.785714286,117.7
2006/4/19,96.0256410256,81.6
2006/4/20,109.80861244,103.2
2006/4/21,83.7819799778,73.3
2006/4/22,166.923076923,46.3
2006/4/23,95.0495049505,31.1
2006/4/24,142.255319149,34.1
2006/4/25,105.347593583,72.5
2006/4/26,104.779661017,58.9
2006/4/27,180.897435897,41.0
2006/4/28,97.1498771499,27.8
2006/4/29,92.2644927536,25.8
2006/4/30,73.6267605634,50.5
2006/5/1,76.8915343915,35.1
2006/5/2,188.37587007,19.0
2006/5/3,110.769230769,58.3
2006/5/4,73.6989247312,49.9
2006/5/5,153.254237288,118.1
2006/5/6,167.735849057,32.6
2006/5/7,65.0393700787,27.7
2006/5/8,82.0454545455,34.3
2006/5/9,117.534246575,40.9
2006/5/10,137.944250871,36.7
2006/5/11,61.4543630893,85.1
2006/5/12,59.8087649402,82.5
2006/5/13,53.3644859813,86.1
2006/5/14,120.989010989,77.2
2006/5/15,107.046818727,83.1
2006/5/16,97.1144859813,101.7
2006/5/17,53.2727272727,33.4
2006/5/18,302.0,51.5
2006/5/19,163.577586207,62.4
2006/5/20,103.474903475,75.6
2006/5/21,75.5742296919,97.2
2006/5/22,97.7229601518,75.7
2006/5/23,127.385321101,25.2
2006/5/24,112.216981132,74.0
2006/5/25,54.795640327,61.6
2006/5/26,106.209150327,27.4
2006/5/27,95.2105263158,21.5
2006/5/28,98.5080645161,23.6
2006/5/29,184.191176471,43.3
2006/5/30,82.5303643725,33.5
2006/5/31,191.162790698,29.4
2006/6/1,189.865771812,22.4
2006/6/2,98.5684210526,19.4
2006/6/3,166.822429907,23.4
2006/6/4,198.367346939,26.4
2006/6/5,103.395061728,19.4
2006/6/6,144.510869565,17.3
2006/6/9,152.441860465,19.5
2006/6/10,113.01980198,27.3
2006/6/11,76.3420427553,29.7
2006/6/12,76.7697594502,25.5
2006/6/13,111.732673267,9.9
2006/6/14,99.8785425101,30.9
2006/6/15,87.9197994987,22.1
2006/6/16,85.7575757576,50.4
2006/6/17,121.066176471,55.5
2006/6/18,69.4395280236,39.2
2006/6/19,66.4162754304,53.9
2006/6/20,117.256097561,63.2
2006/6/22,83.5770234987,68.9
2006/6/23,69.1503267974,27.7
2006/6/24,132.172131148,23.6
2006/6/25,97.396593674,51.7
2006/6/26,93.2748538012,81.8
2006/6/27,77.1945701357,65.6
2006/6/28,76.5916398714,39.6
2006/6/29,36.2455516014,61.7
2006/6/30,50.8801213961,79.8
2006/7/1,71.0566037736,79.1
2006/7/2,154.056939502,74.8
2006/7/3,90.6493506494,24.8
2006/7/4,111.822916667,34.8
2006/7/5,112.391304348,21.9
2006/7/6,92.2905027933,20.1
2006/7/7,69.2616033755,16.1
2006/7/8,58.8154269972,17.4
2006/7/9,80.495049505,19.8
2006/7/10,90.1282051282,30.8
2006/7/11,93.3532934132,44.6
2006/7/12,40.7474226804,34.1
2006/7/13,77.7542372881,18.1
2006/7/14,132.785388128,26.0
2006/7/15,175.967741935,16.7
2006/7/16,99.5161290323,22.4
2006/7/17,98.1533101045,22.7
2006/7/18,197.95221843,24.9
2006/7/19,172.960526316,76.7
2006/7/20,83.0303030303,69.8
2006/7/21,70.8746355685,83.0
2006/7/22,136.341463415,29.8
2006/7/23,162.096774194,28.4
2006/7/24,76.6408268734,48.9
2006/7/25,129.5,37.4
2006/7/26,109.50617284,42.1
2006/7/27,102.797202797,20.3
2006/7/28,65.7884615385,109.6
2006/7/29,81.9948186528,101.5
2006/7/30,63.2236842105,88.4
2006/7/31,162.425149701,47.8
2006/8/1,59.25,83.0
2006/8/2,79.1719745223,63.2
2006/8/3,84.2076502732,67.3
2006/8/4,39.3739967897,69.1
2006/8/5,72.4778761062,51.5
2006/8/6,58.3149171271,46.4
2006/8/7,37.626911315,40.5
2006/8/8,59.2513368984,68.3
2006/8/9,88.9694656489,72.8
2006/8/10,66.1517615176,50.2
2006/8/11,74.7989949749,46.4
2006/8/12,105.510204082,81.4
2006/8/13,61.7411545624,31.4
2006/8/14,94.7826086957,23.2
2006/8/15,53.9782016349,27.1
2006/8/16,127.818181818,45.6
2006/8/17,115.127118644,23.7
2006/8/18,144.886363636,41.1
2006/8/19,145.015673981,44.9
2006/8/20,58.8715953307,83.9
2006/8/21,143.435582822,72.9
2006/8/22,145.0,65.0
2006/8/23,109.117647059,46.9
2006/8/24,194.604316547,36.9
2006/8/25,119.617021277,34.9
2006/8/26,163.790849673,57.1
2006/8/27,111.294964029,58.0
2006/8/28,110.212014134,87.0
2006/8/29,137.802197802,38.9
2006/8/30,110.416666667,21.9
2006/8/31,134.402985075,31.4
2006/9/1,104.161676647,50.0
2006/9/2,132.517730496,68.1
2006/9/3,208.888888889,37.1
2006/9/4,106.967741935,31.5
2006/9/5,143.020833333,27.3
2006/9/6,110.149812734,24.3
2006/9/7,66.3717948718,35.0
2006/9/8,113.582089552,57.1
2006/9/9,117.935103245,85.7
2006/9/10,62.261208577,57.9
2006/9/11,125.37993921,54.0
2006/9/12,88.3663366337,67.4
2006/9/13,79.0819672131,58.5
2006/9/14,101.625,87.3
2006/9/15,72.3798076923,63.6
2006/9/16,32.0305676856,41.8
2006/9/17,79.5909090909,76.1
2006/9/18,112.485436893,111.3
2006/9/19,149.06504065,93.8
2006/9/20,140.166112957,85.5
2006/9/21,87.1278825996,103.6
2006/9/22,86.1538461538,91.4
2006/9/23,153.12195122,78.5
2006/9/24,214.957983193,109.3
2006/9/25,148.341232227,81.9
2006/9/26,107.5,93.1
2006/9/27,137.258883249,100.3
2006/9/28,170.144927536,148.5
2006/9/29,120.474683544,144.1
2006/9/30,93.6480686695,46.5
2006/10/3,110.872483221,96.0
2006/10/4,132.988764045,93.9
2006/10/5,117.160493827,97.2
